country,horizon,mse,rmse,mae,mape,mdape,smape,coverage
ASEAN-5,1077 days 01:33:54.782608688,23.962233903458223,4.362962091489846,3.0534873874100597,0.5050711759009573,0.3038796765135213,0.5698176889722827,0.7101449275362319
Advanced economies,1077 days 01:33:54.782608688,5.2509212908302905,2.2009456507282317,1.5633740346818992,0.8284895113414432,0.3760683785138218,0.5135944007723435,0.6335403726708074
Afghanistan,1077 days 01:33:54.782608688,22.921298882824782,4.6126541678693185,3.538938998356552,1.1660365016714351,0.45454135986864913,0.5958406478392677,0.43478260869565216
Africa (Region),1077 days 01:33:54.782608688,7.985640799995672,2.712951678363251,2.3096591026495346,2.2115786156923987,0.4914844821994322,0.6645742402208977,0.5072463768115942
Albania,1077 days 01:33:54.782608688,71.99143662320293,8.108371636429542,6.244776328643004,1.3247962062280791,1.116432711844996,1.125819536873196,0.6418219461697723
Algeria,1077 days 01:33:54.782608688,37.31069255429445,5.679154173836078,3.9264554831109786,3.5051687605893638,0.9500177580526163,1.0225145744672444,0.6935817805383022
Andorra,1077 days 01:33:54.782608688,22.98235273749576,4.615776588678258,3.46201959081432,,0.7596664135147745,0.9849982570421247,0.4409937888198758
Angola,1077 days 01:33:54.782608688,57.48519396856259,7.384612971354575,6.491098389724119,,1.4692384292236251,0.9810628006929124,0.2960662525879917
Antigua and Barbuda,1077 days 01:33:54.782608688,50.54238356617435,6.867766637122376,5.641690604760243,,0.898605270957155,1.2787661126555439,0.5445134575569358
Argentina,1077 days 01:33:54.782608688,56.48778033413946,7.387416170814617,6.287488548544781,2.0083583290214557,1.1111572011143898,1.2840258115913217,0.4886128364389234
Armenia,1077 days 01:33:54.782608688,128.07051612704953,11.104544455001731,7.993157253347409,2.657361775392374,1.0068806576536857,0.970477636042535,0.5734989648033126
Aruba,1077 days 01:33:54.782608688,90.7958069248418,9.298373966074374,7.489863802179197,,1.2615391838280317,1.2970234995627388,0.6542443064182194
Asia and Pacific,1077 days 01:33:54.782608688,4.744638930466672,2.027884159938001,1.5931632367782436,0.5734033778707773,0.21799264555980527,0.29820833553303755,0.4906832298136646
Australia,1077 days 01:33:54.782608688,11.396471503559084,3.045312342301073,2.026116057442512,0.7545024999043727,0.3653221490139346,0.5308352728749862,0.8074534161490683
Australia and New Zealand,1077 days 01:33:54.782608688,9.585792362698431,2.832452338124111,1.9025679128621609,0.7491953396509383,0.3321360808638902,0.530943114244259,0.7929606625258799
Austria,1077 days 01:33:54.782608688,5.9012890578229475,2.2601842866781956,1.6495780235628394,,0.6034604185087503,0.6545139412197601,0.6273291925465838
Azerbaijan,1077 days 01:33:54.782608688,311.24005009771804,17.365636574413145,13.401120997809846,5.056699534938124,1.6452493982588299,1.149191151994191,0.4016563146997929
Bahrain,1077 days 01:33:54.782608688,17.699836431492628,3.9740282509923173,3.1537555027281123,1.23626249430998,0.6328832339845114,0.8031486233759819,0.577639751552795
Bangladesh,1077 days 01:33:54.782608688,1.7237549872083562,1.2212692283394144,0.9079723667083391,0.19868772244959348,0.12495502297918461,0.2106153034903662,0.7412008281573499
Barbados,1077 days 01:33:54.782608688,26.125828190009607,4.91555826295555,3.7546084696349578,1.8870750030298198,1.4191373019921234,1.4761059222548667,0.6149068322981367
Belarus,1077 days 01:33:54.782608688,73.87763929184915,8.373641006409649,7.1178721326814784,2.765195808212732,1.3681227655600297,1.3865903887038669,0.474120082815735
Belgium,1077 days 01:33:54.782608688,6.857327636432739,2.4983568050796925,1.852237273374059,1.0582513044595958,0.6810179259005709,0.7711024863070357,0.5652173913043478
Belize,1077 days 01:33:54.782608688,79.24472254683576,8.684448398441425,6.5733105116338635,7.754064314716303,0.9556659298394957,0.9954714718102389,0.6356107660455486
Benin,1077 days 01:33:54.782608688,23.386852787678144,4.256277740133994,2.958983578674773,0.9582939614197634,0.5401689913767668,0.6495153070361382,0.8115942028985508
Bhutan,1077 days 01:33:54.782608688,39.922710255884525,6.056079257283097,4.6280275554947155,0.963678764550195,0.45513372308107547,0.6345755366393748,0.6666666666666666
Bolivia,1077 days 01:33:54.782608688,25.76952353442359,4.726809814327863,3.4932536780576986,1.9319119245055432,0.5951812601019124,0.7378929271419331,0.5693581780538303
Bosnia and Herzegovina,1077 days 01:33:54.782608688,217.1671007955735,13.820845920626045,10.732952905695356,2.695650005628572,1.318268601754128,1.1413893480848234,0.8240165631469979
Botswana,1077 days 01:33:54.782608688,55.765607895956066,7.298124850832704,6.210131970131769,4.075223288550647,0.9334177552916189,1.3177357649556123,0.598343685300207
Brazil,1077 days 01:33:54.782608688,32.80781053141056,5.344645118808113,3.8599611542657795,3.422689552383304,1.1343749429707046,1.0712476280790466,0.7681159420289855
Brunei Darussalam,1077 days 01:33:54.782608688,10.771588429778873,3.1688103375752683,2.5753916849635208,2.343270967169249,1.430753738379606,1.1721121099771667,0.5383022774327122
Bulgaria,1077 days 01:33:54.782608688,71.64477275078791,8.214219616029865,6.301012573944907,1.471713329542516,1.1031920364295669,1.2759523389410998,0.48033126293995854
Burkina Faso,1077 days 01:33:54.782608688,22.19360440051463,4.462594122382247,3.23785460881387,2.6157995429397523,0.48679970256779864,0.6496091718356967,0.7142857142857143
Burundi,1077 days 01:33:54.782608688,40.186189105552465,5.940147665053842,4.682882033820773,2.2000721070174984,1.3339714028216185,1.3132387024374128,0.7039337474120082
Cabo Verde,1077 days 01:33:54.782608688,28.51638136192199,5.014331235124774,3.9839690079193844,1.6435756711580285,0.5462812933558797,0.7407804097683638,0.46169772256728775
Cambodia,1077 days 01:33:54.782608688,22.81492311261991,4.5381929319438346,3.5074649377154006,3.3610021980861173,0.33982093718227036,0.5678851072107668,0.6376811594202898
Cameroon,1077 days 01:33:54.782608688,59.46201988750682,7.551305725218871,5.724471503622756,1.5721578179562228,1.0957983678966272,1.2724419978294965,0.5900621118012422
Canada,1077 days 01:33:54.782608688,10.08335999124133,3.1182358660407172,2.3642535394988555,1.8153984989468768,0.6418117270255097,0.7890639320979658,0.6956521739130435
Caribbean,1077 days 01:33:54.782608688,17.645248429489275,4.028918194443399,3.1029867942357883,,1.368632788825703,1.1735163194679168,0.43478260869565216
Central African Republic,1077 days 01:33:54.782608688,92.6993252078194,8.190743579606298,5.726106418619806,,1.1167777491115436,1.4483335952604879,0.8198757763975155
Central America,1077 days 01:33:54.782608688,11.734867351883247,3.1638208971424087,2.4109614106061232,2.9527569360423085,0.4242619467307714,0.6658467795090136,0.5424430641821947
Central Asia and the Caucasus,1077 days 01:33:54.782608688,32.69396323587703,5.484163934431564,4.391687108745595,2.0929967267865766,0.8053627628924492,0.8004198355804342,0.6811594202898551
Chad,1077 days 01:33:54.782608688,217.75112870903484,13.945065790276606,10.412541354849758,6.268294506822541,2.8844971537892996,1.1843000772756274,0.5072463768115942
Chile,1077 days 01:33:54.782608688,88.58771403498777,8.536026261053436,5.735198826802562,2.556529928115073,1.1221201798067237,0.8525295403171889,0.722567287784679
China,1077 days 01:33:54.782608688,26.21905440061871,4.824695708800563,3.713967535900639,0.5987150573109428,0.3423096728869558,0.3662076821249382,0.6045548654244307
Colombia,1077 days 01:33:54.782608688,14.290785309599,3.6204358304330135,2.7328401107903786,0.9083909326649896,0.5422597880288755,0.7024837915939648,0.515527950310559
Comoros,1077 days 01:33:54.782608688,11.86107273963995,3.3719550628254047,2.753042535508021,,0.8200432593054838,1.2230026196997053,0.6542443064182194
Costa Rica,1077 days 01:33:54.782608688,16.965571069636184,3.992729687549884,3.338381142376531,1.136729633831686,0.6688953619461583,0.6475505602376318,0.6977225672877846
Croatia,1077 days 01:33:54.782608688,36.99895810746171,5.978358191554287,4.600052566789757,2.7501223171801374,1.0422702838204767,1.3042524512054092,0.4906832298136646
Cyprus,1077 days 01:33:54.782608688,14.592529538630451,3.7177962373628186,2.9162800202474495,1.3400198854825487,0.5151927332504261,0.821322773463533,0.5300207039337473
Czech Republic,1077 days 01:33:54.782608688,9.796234247840395,3.037314226713421,2.3046238686550446,,0.5443637003619661,0.8901976775972168,0.3995859213250517
Côte d'Ivoire,1077 days 01:33:54.782608688,27.244322634435193,5.020323940000203,3.967934389124707,,1.0656914283424943,1.278407050435344,0.5445134575569358
Dem. Rep. of the Congo,1077 days 01:33:54.782608688,63.798164882468,7.813260479841657,6.412734949211414,1.985159596134159,1.2220751380808277,1.2758336966019763,0.45548654244306414
