,Country,MAE,RMSE,MAPE
174,Timor-Leste,2.22,2.53,74.72762606513834
175,Togo,1.11,1.28,20.219866600749135
176,Tonga,4.28,4.52,199.2645159692322
177,Trinidad and Tobago,3.22,3.42,149.64274099308184
178,Tunisia,0.97,1.1,41.34687645272393
179,Turkmenistan,0.63,0.78,26.273470705945297
180,Tuvalu,2.44,2.8,91.98116088703779
181,Republic of Turkiye,2.45,2.49,82.08267580872311
182,Uganda,3.73,4.02,57.62982549491146
183,Ukraine,13.65,13.71,454.9399876876136
184,United Arab Emirates,1.04,1.15,26.59089966537366
185,United Kingdom,0.88,1.18,159.38435868151183
186,United States,0.38,0.42,24.13451553471936
187,Uruguay,1.22,1.27,51.40754073519068
188,Uzbekistan,1.29,1.38,23.635887418475367
189,Vanuatu,1.54,1.76,45.249252095661625
190,Venezuela,2.57,3.6,128.7141803442476
191,Vietnam,0.6,0.7,8.933038328472163
192,West Bank and Gaza,1.89,1.99,85.06787519533434
193,Yemen,9.19,9.55,380.24244156124655
194,Zambia,1.28,1.6,27.35982347112197
195,Zimbabwe,2.5,2.79,91.40635953158545
196,Africa (Region),1.4,1.45,32.95943532288668
197,Asia and Pacific,1.09,1.14,26.71357671522021
198,Australia and New Zealand,0.62,0.73,34.36338915437724
199,Caribbean,6.53,8.1,245.72347311242484
200,Central America,1.09,1.2,27.802258560195497
201,Central Asia and the Caucasus,2.28,2.42,70.90098725935214
202,East Asia,1.8,1.85,54.16086928673184
203,Eastern Europe ,0.97,1.09,71.63960576185565
204,Europe,0.61,0.77,64.31344433033406
205,Middle East (Region),2.74,2.83,93.92184609743059
206,North Africa,0.23,0.32,5.068380169852559
207,North America,0.35,0.4,22.237048897590764
208,Pacific Islands ,1.01,1.15,26.490784553323504
209,South America,0.32,0.42,20.27556960435156
210,South Asia,0.64,0.7,11.219814707609897
211,Southeast Asia,0.72,0.82,14.888417477959157
212,Sub-Saharan Africa (Region) ,1.63,1.68,39.8068014835516
213,Western Europe,0.68,0.8,60.11876716592804
214,Western Hemisphere (Region),0.34,0.38,18.194318485678764
215,ASEAN-5,0.88,0.97,19.134283776098833
216,Advanced economies,0.46,0.5,27.56920767352985
217,Emerging and Developing Asia,0.89,1.17,18.32541446706838
218,Emerging and Developing Europe,0.77,1.15,49.04519741867988
219,Emerging market and developing economies,0.25,0.3,6.384456330093514
220,Euro area,1.16,1.31,86.74975932878364
221,European Union,0.63,0.79,51.86874430344762
222,Latin America and the Caribbean,0.27,0.39,11.943186470560278
223,Major advanced economies (G7),0.53,0.58,34.34036728641283
224,Middle East and Central Asia,1.53,1.61,44.536902256008986
225,Other advanced economies,0.31,0.41,15.08996839685757
226,Sub-Saharan Africa,1.64,1.72,39.27689816604846
227,World,0.58,0.64,19.332420707596324
